4000-084;41.1539261;-8.6006466
4000-079;41.1539261;-8.6006466
4000-080;41.1539261;-8.6006466
4000-078;41.1539261;-8.6006466
4000-081;41.1539261;-8.6006466
4000-084;41.1539261;-8.6006466
4000-369;41.1568189;-8.6086638
4300-076;41.1493438;-8.5782359
4100-368;41.1729652;-8.6557158
4350-255;41.1579438;-8.6291053
4200-434;41.1670855;-8.5988211
4200-433;41.1670855;-8.5988211
4200-432;41.1670855;-8.5988211
4350-256;41.1661791;-8.5718365
4150-549;41.1485851;-8.6487724
4150-553;41.1481001;-8.6434285
4150-555;41.1481001;-8.6434285
4150-553;41.1481001;-8.6434285
4150-555;41.1481001;-8.6434285
4150-553;41.1481001;-8.6434285
4150-555;41.1481001;-8.6434285
4150-554;41.1481001;-8.6434285
4150-555;41.1481001;-8.6434285
4150-554;41.1481001;-8.6434285
4150-552;41.1481001;-8.6434285
4150-553;41.1481001;-8.6434285
4150-552;41.1481001;-8.6434285
4150-554;41.1481001;-8.6434285
4150-552;41.1481001;-8.6434285
4150-554;41.1481001;-8.6434285
4150-552;41.1481001;-8.6434285
4150-553;41.1481001;-8.6434285
4150-554;41.1481001;-8.6434285
4150-553;41.1481001;-8.6434285
4150-554;41.1481001;-8.6434285
4150-553;41.1481001;-8.6434285
4050-450;41.1402875;-8.6161303
4050-451;41.1402875;-8.6161303
4000-085;41.1545524;-8.6005382
4249-016;41.1738423;-8.5971388
4200-299;41.1738423;-8.5971388
4150-556;41.1550835;-8.6500504
4050-452;41.1466857;-8.6308749
4100-369;41.167831;-8.6457157
4100-370;41.1680577;-8.6454761
4300-381;41.1508169;-8.5687539
4300-382;41.1508169;-8.5687539
4050-455;41.148771;-8.6195403
4100-371;41.1669501;-8.6690452
4350-043;41.158902;-8.5915304
4350-045;41.158902;-8.5915304
4350-044;41.158902;-8.5915304
4350-039;41.158902;-8.5915304
4350-040;41.158902;-8.5915304
4350-041;41.158902;-8.5915304
4350-042;41.158902;-8.5915304
4000-370;41.1473124;-8.6016811
4150-560;41.1574222;-8.6784154
4150-559;41.1574222;-8.6784154
4150-558;41.1574222;-8.6784154
4150-557;41.1574222;-8.6784154
4100-037;41.1600488;-8.633885
4100-036;41.1600488;-8.633885
4050-044;41.1667894;-8.6395731
4100-045;41.1667894;-8.6395731
4100-047;41.1667894;-8.6395731
4100-046;41.1667894;-8.6395731
4100-047;41.1667894;-8.6395731
4100-046;41.1667894;-8.6395731
4100-046;41.1667894;-8.6395731
4100-047;41.1667894;-8.6395731
4100-044;41.1667894;-8.6395731
4100-045;41.1667894;-8.6395731
4250-046;41.1672824;-8.6373655
4250-045;41.1672824;-8.6373655
4300-031;41.1482809;-8.5885571
4300-030;41.1482809;-8.5885571
4349-020;41.1482809;-8.5885571
4349-010;41.1482809;-8.5885571
4350-048;41.1595405;-8.5902855
4350-049;41.1595405;-8.5902855
4350-047;41.1595405;-8.5902855
4350-046;41.1595405;-8.5902855
4300-059;41.1415665;-8.5958647
4050-220;41.1537358;-8.6254368
4050-219;41.1537358;-8.6254368
4300-161;41.1567175;-8.5754657
4150-315;41.1571562;-8.6626999
4250-215;41.1812228;-8.6484527
4150-437;41.155149;-8.6700957
4250-256;41.1649811;-8.6160092
4250-256;41.1649811;-8.6160092
4250-255;41.1649811;-8.6160092
4250-254;41.1649811;-8.6160092
4250-253;41.1649811;-8.6160092
4350-211;41.1628204;-8.5892159
4150-470;41.1558629;-8.6618106
4350-050;41.1668586;-8.5680105
4150-465;41.1513291;-8.6693029
4150-462;41.1513291;-8.6693029
4150-463;41.1513291;-8.6693029
4150-464;41.1513291;-8.6693029
4150-461;41.1513291;-8.6693029
4150-457;41.1513291;-8.6693029
4150-458;41.1513291;-8.6693029
4150-459;41.1513291;-8.6693029
4150-460;41.1513291;-8.6693029
4350-226;41.1631545;-8.589122
4250-393;41.17584;-8.6259274
4250-392;41.17584;-8.6259274
4250-392;41.17584;-8.6259274
4250-393;41.17584;-8.6259274
4150-751;41.1493996;-8.6672878
4250-359;41.1664823;-8.6134448
4300-383;41.1436232;-8.5839611
4300-383;41.1436232;-8.5839611
4300-384;41.1436232;-8.5839611
4300-385;41.1436232;-8.5839611
4300-385;41.1436232;-8.5839611
4300-389;41.1467097;-8.5731001
4300-390;41.1469442;-8.572863
4150-563;41.1531972;-8.6517535
4150-563;41.1531972;-8.6517535
4150-562;41.1531972;-8.6517535
4150-561;41.1531972;-8.6517535
4150-562;41.1531972;-8.6517535
4150-561;41.1531972;-8.6517535
4150-562;41.1531972;-8.6517535
4150-561;41.1531972;-8.6517535
4150-562;41.1531972;-8.6517535
4150-564;41.1508789;-8.637903
4150-564;41.1508789;-8.637903
4150-564;41.1508789;-8.637903
4350-052;41.1691059;-8.5816256
4350-051;41.1691059;-8.5816256
4369-002;41.1691059;-8.5816256
4250-360;41.1778483;-8.6188041
4050-456;41.1466552;-8.6162399
4000-376;41.1573266;-8.6095472
4000-377;41.1573266;-8.6095472
4000-378;41.1573266;-8.6095472
4000-375;41.1573266;-8.6095472
4000-374;41.1573266;-8.6095472
4000-376;41.1573266;-8.6095472
4049-073;41.1573266;-8.6095472
4049-027;41.1573266;-8.6095472
4150-566;41.1524544;-8.6725858
4150-565;41.1524544;-8.6725858
4150-566;41.1524544;-8.6725858
4200-135;41.1764013;-8.6038889
4300-391;41.1471468;-8.5860103
4100-375;41.1649052;-8.6610409
4100-374;41.1649052;-8.6610409
4150-070;41.1540027;-8.6743078
4300-392;41.1513285;-8.5814748
4200-437;41.1418794;-8.6149388
4250-138;41.1823385;-8.6139458
4250-139;41.1821442;-8.6140284
4100-377;41.1719172;-8.640854
4350-258;41.1797311;-8.5755577
4350-257;41.1797311;-8.5755577
